ID,Pred
2022_3163_3301,1
2022_3231_3301,0.228597278754212
2022_3246_3301,0.2358378945968139
2022_3243_3301,0.1796402062093872
2022_3196_3301,0.08522438545202121
2022_3269_3301,0.03216251567101572
2022_3237_3301,0.0175044490048433
2022_3150_3301,0.01706708529818882
2022_3273_3301,0.0061345722428637825
2022_3255_3301,1.650841376505835e-4
2022_3291_3301,1.2638476188118952e-5
2022_3261_3301,0.14293434877696884
2022_3268_3301,0.31422701375978657
2022_3242_3301,0.21480258001241484
2022_3210_3301,0.22478623943109477
2022_3116_3301,0.16004047200640448
2022_3199_3301,0.083908588053189
2022_3283_3301,0.08600385119652929
2022_3195_3301,0.03109209715030019
2022_3174_3301,0.006799548376837535
2022_3238_3301,0.00474675801328426
2022_3193_3301,0.001602114649969151
2022_3286_3301,0.0014351112866577748
2022_3234_3301,0.15675538799495203
2022_3235_3301,0.21710057489187948
2022_3112_3301,0.24515897863937833
2022_3208_3301,0.31092566794619203
2022_3160_3301,0.17357766700930757
2022_3274_3301,0.06996305130929682
2022_3166_3301,0.09381881973029954
2022_3173_3301,0.0496885196341682
2022_3177_3301,0.11621676941997149
2022_3229_3301,0.00289494864427536
2022_3224_3301,2.778914284629043e-6
2022_3230_3301,1.675161055710902e-6
2022_3257_3301,0.42793312206670764
2022_3124_3301,0.31667137267683604
2022_3276_3301,0.19612441251251966
2022_3140_3301,0.24790419365734923
2022_3279_3301,0.3162841609188409
2022_3211_3301,0.1973247205263785
2022_3125_3301,0.024184945987455988
2022_3138_3301,0.05218709524545579
2022_3110_3301,2.371977348908457e-4
2022_3218_3301,0.001745189686037216
2022_3107_3301,2.597371547555172e-4
2022_3150_3163,0
2022_3116_3163,0
2022_3112_3163,0
2022_3160_3163,0
2022_3124_3163,0
2022_3140_3163,0
2022_3125_3163,0
2022_3138_3163,0
2022_3110_3163,0
2022_3107_3163,0
2022_3163_3231,1
2022_3196_3231,0.26740425119373296
2022_3150_3231,0.0682988971410579
2022_3210_3231,0.4781557888381937
2022_3116_3231,0.4041603157961475
2022_3199_3231,0.25634669704237606
2022_3195_3231,0.11618517342078626
2022_3174_3231,0.038044100407421476
2022_3193_3231,0.010278776206327517
2022_3112_3231,0.5148309630565114
2022_3208_3231,0.604780940866101
2022_3160_3231,0.4105782815785291
2022_3166_3231,0.2702693814154235
2022_3173_3231,0.16190433112905564
2022_3177_3231,0.2379594053927849
2022_3229_3231,0.015030931181620348
2022_3224_3231,5.339719887472115e-5
2022_3230_3231,1.4324633956551208e-5
2022_3124_3231,0.6055386338812053
2022_3140_3231,0.5286173977750206
2022_3211_3231,0.4587561927517342
2022_3125_3231,0.09419546217890862
2022_3138_3231,0.15372660974095806
2022_3110_3231,0.0017259909156244154
2022_3218_3231,0.009900698857894113
2022_3107_3231,0.0018613216021113842
2022_3301_3328,0.802078672658156
2022_3163_3328,1
2022_3231_3328,0.6814322208565192
2022_3323_3328,0.723310559032087
2022_3246_3328,0.7474223200987204
2022_3243_3328,0.6978613211424943
2022_3196_3328,0.5465794463413118
2022_3269_3328,0.36436975872306004
2022_3237_3328,0.2839618131626335
2022_3150_3328,0.3008424307049456
2022_3273_3328,0.1820586606190379
2022_3255_3328,0.05385752264685501
2022_3291_3328,0.01393338344415621
2022_3261_3328,0.6577807432457919
2022_3268_3328,0.7805230247255261
2022_3326_3328,0.508027579368438
2022_3242_3328,0.6887666453803345
2022_3210_3328,0.6896623068571403
2022_3116_3328,0.6308628894997532
2022_3199_3328,0.5322335066973751
2022_3283_3328,0.5410195336461838
2022_3195_3328,0.3156520844570996
2022_3174_3328,0.2356969010093336
2022_3238_3328,0.15193890247369446
2022_3193_3328,0.11288760575608925
2022_3286_3328,0.12461529037618835
2022_3234_3328,0.517137366608798
2022_3235_3328,0.5922421992462058
2022_3112_3328,0.6905447928532271
2022_3314_3328,0.7621273115291829
2022_3208_3328,0.7893546359900674
2022_3160_3328,0.6266985386612869
2022_3274_3328,0.47970855280043057
2022_3166_3328,0.4946937586808101
2022_3173_3328,0.4127947813969886
2022_3177_3328,0.4908617390124737
2022_3229_3328,0.14262902966794222
2022_3224_3328,0.009458209471337192
2022_3230_3328,0.005923846179786038
2022_3257_3328,0.7967088065818476
2022_3124_3328,0.7201696666019443
2022_3276_3328,0.6585701370422747
2022_3140_3328,0.69121415722445
2022_3279_3328,0.7952085832639102
2022_3304_3328,0.6207217233057419
2022_3211_3328,0.6800884204407155
2022_3125_3328,0.30411759522695186
2022_3138_3328,0.41980280006924964
2022_3110_3328,0.04749679143497481
2022_3218_3328,0.1214016524757255
2022_3107_3328,0.05189669042879437
2022_3301_3323,0.771979545291832
2022_3163_3323,1
2022_3231_3323,0.4719105542052582
2022_3246_3323,0.49471383304668065
2022_3243_3323,0.41871537539139353
2022_3196_3323,0.22879431719545587
2022_3269_3323,0.09816133366413866
2022_3237_3323,0.05724168148747405
2022_3150_3323,0.047207216673340414
2022_3273_3323,0.013660151157212313
2022_3255_3323,6.31214762844194e-4
2022_3291_3323,3.296152315161636e-5
2022_3261_3323,0.42161794009523146
2022_3268_3323,0.5945394339479669
2022_3242_3323,0.41304054616237884
2022_3210_3323,0.44177180017403694
2022_3116_3323,0.3696848259595249
2022_3199_3323,0.21773147832327888
2022_3283_3323,0.21779178668688193
2022_3195_3323,0.09295755545294872
2022_3174_3323,0.0246373356234729
2022_3238_3323,0.012803265694488416
2022_3193_3323,0.0057507589370037636
2022_3286_3323,0.004998956076293865
2022_3234_3323,0.32471295488266566
2022_3235_3323,0.41638954929655186
2022_3112_3323,0.4867230622627196
2022_3314_3323,0.6357733496155552
2022_3208_3323,0.5730794523956417
2022_3160_3323,0.3760391810503822
2022_3274_3323,0.18821969444517508
2022_3166_3323,0.23798544456968096
2022_3173_3323,0.12993069122134387
2022_3177_3323,0.1941534806800647
2022_3229_3323,0.008533942642118842
2022_3224_3323,1.562159234485484e-5
2022_3230_3323,2.958712521570841e-6
2022_3257_3323,0.6994969496315547
2022_3124_3323,0.5902815437323303
2022_3276_3323,0.43911142912149365
2022_3140_3323,0.504534320389825
2022_3279_3323,0.5853374937908409
2022_3304_3323,0.3940783546997168
2022_3211_3323,0.42340502221437065
2022_3125_3323,0.07173915413114743
2022_3138_3323,0.11922482266451243
2022_3110_3323,7.531622528788781e-4
2022_3218_3323,0.0052621737230242535
2022_3107_3323,8.057800340318143e-4
2022_3163_3246,1
2022_3231_3246,0.47046436212828574
2022_3243_3246,0.4256144861067678
2022_3196_3246,0.2329350009385873
2022_3237_3246,0.05815367182794639
2022_3150_3246,0.04763824259960939
2022_3242_3246,0.4097660993885359
2022_3210_3246,0.4390052997980146
2022_3116_3246,0.3712894493467325
2022_3199_3246,0.2202717997641407
2022_3195_3246,0.09246243170352604
2022_3174_3246,0.025924509952004755
2022_3238_3246,0.012593860327353943
2022_3193_3246,0.005966246632560073
2022_3234_3246,0.3145395863169856
2022_3235_3246,0.4048941158627745
